Deepfake Detection Results
Weights: batchFacesAll
================================================================================

[1/4639] Image: fa9fd3dc-ca18-442d-acc5-3b92ee07b909__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9554
[2/4639] Image: d328b03f-9efb-4920-959a-2af0e477ac55__crop3.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.0039
[3/4639] Image: 6298b165-cd10-4336-910c-bde7594f026e__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2008
[4/4639] Image: e36c2a59-2115-4558-b3ac-de9d06babf5e__crop0.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3333
[5/4639] Image: 2145f303-a7ce-44cb-a1a6-8019b573e3bf__crop2.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2976
[6/4639] Image: 7cd3d64b-a4aa-4e46-9e83-4ce4b0af26dc__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5453
[7/4639] Image: bf7b7e35-3d8f-496e-9360-95afa7c47937__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2282
[8/4639] Image: 8665b4b7-7b44-4c26-9967-fbe07d81e3a6__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9023
[9/4639] Image: ed25199c-891b-4541-9569-d4ecb1ed33fd__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.1299
[10/4639] Image: f25e0cb1-8890-4f7d-a706-15d28388dfa3__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9768
[11/4639] Image: c27e0fd0-ff6f-40f4-a412-f6c37d96f1c7__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9633
[12/4639] Image: fbeadfae-f024-4567-a38e-92f607a17fd0__crop3.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7236
[13/4639] Image: 7b9e1f74-24ab-48ce-8109-9b7dbdce0b34__crop1.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3706
[14/4639] Image: 435647ff-2da0-4a66-87b7-c425730d4107__crop2.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9476
[15/4639] Image: 8410ff1c-c96c-4a91-9315-625a6bbb4e21__crop1.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9276
[16/4639] Image: 318f0f44-76d2-45b2-aa03-f17d8d8cc361__crop0.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8928
