Deepfake Detection Results
================================================================================

[1/3000]                        136.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2633 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0026/136.png
[2/3000]                        084.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9811 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0033_fake/084.png
[3/3000]                        085.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4632 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0029_fake/085.png
[4/3000]                        233.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9837 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0048_fake/233.png
[5/3000]                        115.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5279 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0029/115.png
[6/3000]                        000.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9654 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0022_fake/000.png
[7/3000]                        075.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5173 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0009/075.png
[8/3000]                        061.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9884 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0032_fake/061.png
[9/3000]                        199.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9932 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0009_fake/199.png
[10/3000]                        102.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.8073 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0020/102.png
[11/3000]                        014.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9774 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0024_fake/014.png
[12/3000]                        148.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2000 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0002/148.png
[13/3000]                        130.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4931 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0029/130.png
[14/3000]                        102.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9708 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0021_fake/102.png
[15/3000]                        139.png | True: FAKE | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2454 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0034_fake/139.png
[16/3000]                        024.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4905 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0027/024.png
[17/3000]                        036.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.5638 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0032/036.png
[18/3000]                        336.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.6174 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0018/336.png
