Deepfake Detection Results
================================================================================

[1/3000]                        010.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.2029 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0031/010.png
[2/3000]                        052.png | True: REAL | Pred: 1 (0=Real, 1=Fake) | Prob: 0.7674 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0003/052.png
[3/3000]                        035.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.3299 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0020/035.png
[4/3000]                       1144.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9906 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0040_fake/1144.png
[5/3000]                        090.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9816 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0016_fake/090.png
[6/3000]                        150.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9761 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0014_fake/150.png
[7/3000]                        225.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9917 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0000_fake/225.png
[8/3000]                        075.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9593 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0017_fake/075.png
[9/3000]                        045.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9753 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0026_fake/045.png
[10/3000]                        187.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9870 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0011_fake/187.png
[11/3000]                        146.png | True: REAL | Pred: 0 (0=Real, 1=Fake) | Prob: 0.4091 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/real/frames/0030/146.png
[12/3000]                        214.png | True: FAKE | Pred: 1 (0=Real, 1=Fake) | Prob: 0.9828 | Path: /Volumes/Crucial/Large_Downloads/AI/DFB_rgb/UADFV/fake/frames/0011_fake/214.png
