file,tag,step,value,wall_time
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/acc/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.10,test_metrics/acc,761,0.9265862703323364,1766119423.409027
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/acc/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.10,test_metrics/acc,1523,0.9575248956680298,1766121383.886851
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/eer/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.12,test_metrics/eer,761,0.07531865686178207,1766119423.409746
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/eer/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.12,test_metrics/eer,1523,0.047508690506219864,1766121383.8868911
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/overall/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.7,test_losses/overall,761,0.2200290411710739,1766119423.404667
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/overall/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.7,test_losses/overall,1523,0.14303059875965118,1766121383.8799748
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/video_eer/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.15,test_metrics/video_eer,761,0.0,1766119423.410892
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/video_eer/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.15,test_metrics/video_eer,1523,0.0,1766121383.8869429
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/video_acc/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.16,test_metrics/video_acc,761,1.0,1766119423.411826
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/video_acc/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.16,test_metrics/video_acc,1523,1.0,1766121383.8873441
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/video_acc/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.16,test_metrics/acc_real,761,0.8771726489067078,1766119423.411903
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/video_acc/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.16,test_metrics/acc_real,1523,0.9246813654899597,1766121383.888012
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/video_acc/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.16,test_metrics/acc_fake,761,0.967432975769043,1766119423.411909
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/video_acc/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.16,test_metrics/acc_fake,1523,0.984674334526062,1766121383.888024
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/auc/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.11,test_metrics/auc,761,0.9779804348945618,1766119423.4093661
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/auc/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.11,test_metrics/auc,1523,0.9916090369224548,1766121383.8868742
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/real_loss/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.8,test_losses/real_loss,761,0.2376900017261505,1766119423.407296
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/real_loss/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.8,test_losses/real_loss,1523,0.17038021981716156,1766121383.885919
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/fake_loss/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.9,test_losses/fake_loss,761,0.18109431862831116,1766119423.408293
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/fake_loss/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.9,test_losses/fake_loss,1523,0.09768499433994293,1766121383.886466
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/video_auc/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.14,test_metrics/video_auc,761,1.0,1766119423.410508
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/video_auc/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.14,test_metrics/video_auc,1523,1.0,1766121383.886922
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/ap/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.13,test_metrics/ap,761,0.9824409484863281,1766119423.410068
DeepfakeBench/training/logs/batchedFaces2000/test/combined_test/ap/metric_board/events.out.tfevents.1766119423.miMBP.local.60604.13,test_metrics/ap,1523,0.9934253096580505,1766121383.8869052
